unique_id,ds,naive
hotel_0,2023-07-01,0.8271604938271605
hotel_0,2023-07-02,0.8271604938271605
hotel_0,2023-07-03,0.8271604938271605
hotel_0,2023-07-04,0.8271604938271605
hotel_0,2023-07-05,0.8271604938271605
hotel_0,2023-07-06,0.8271604938271605
hotel_0,2023-07-07,0.8271604938271605
hotel_0,2023-07-08,0.8271604938271605
hotel_0,2023-07-09,0.8271604938271605
hotel_0,2023-07-10,0.8271604938271605
hotel_0,2023-07-11,0.8271604938271605
hotel_0,2023-07-12,0.8271604938271605
hotel_0,2023-07-13,0.8271604938271605
hotel_0,2023-07-14,0.8271604938271605
hotel_105,2023-07-01,1.0
hotel_105,2023-07-02,1.0
hotel_105,2023-07-03,1.0
hotel_105,2023-07-04,1.0
hotel_105,2023-07-05,1.0
hotel_105,2023-07-06,1.0
hotel_105,2023-07-07,1.0
hotel_105,2023-07-08,1.0
hotel_105,2023-07-09,1.0
hotel_105,2023-07-10,1.0
hotel_105,2023-07-11,1.0
hotel_105,2023-07-12,1.0
hotel_105,2023-07-13,1.0
hotel_105,2023-07-14,1.0
hotel_112,2023-07-01,0.96875
hotel_112,2023-07-02,0.96875
hotel_112,2023-07-03,0.96875
hotel_112,2023-07-04,0.96875
hotel_112,2023-07-05,0.96875
hotel_112,2023-07-06,0.96875
hotel_112,2023-07-07,0.96875
hotel_112,2023-07-08,0.96875
hotel_112,2023-07-09,0.96875
hotel_112,2023-07-10,0.96875
hotel_112,2023-07-11,0.96875
hotel_112,2023-07-12,0.96875
hotel_112,2023-07-13,0.96875
hotel_112,2023-07-14,0.96875
hotel_126,2023-07-01,0.9880478087649402
hotel_126,2023-07-02,0.9880478087649402
hotel_126,2023-07-03,0.9880478087649402
hotel_126,2023-07-04,0.9880478087649402
hotel_126,2023-07-05,0.9880478087649402
hotel_126,2023-07-06,0.9880478087649402
hotel_126,2023-07-07,0.9880478087649402
hotel_126,2023-07-08,0.9880478087649402
hotel_126,2023-07-09,0.9880478087649402
hotel_126,2023-07-10,0.9880478087649402
hotel_126,2023-07-11,0.9880478087649402
hotel_126,2023-07-12,0.9880478087649402
hotel_126,2023-07-13,0.9880478087649402
hotel_126,2023-07-14,0.9880478087649402
hotel_133,2023-07-01,0.9672131147540984
hotel_133,2023-07-02,0.9672131147540984
hotel_133,2023-07-03,0.9672131147540984
hotel_133,2023-07-04,0.9672131147540984
hotel_133,2023-07-05,0.9672131147540984
hotel_133,2023-07-06,0.9672131147540984
hotel_133,2023-07-07,0.9672131147540984
hotel_133,2023-07-08,0.9672131147540984
hotel_133,2023-07-09,0.9672131147540984
hotel_133,2023-07-10,0.9672131147540984
hotel_133,2023-07-11,0.9672131147540984
hotel_133,2023-07-12,0.9672131147540984
hotel_133,2023-07-13,0.9672131147540984
hotel_133,2023-07-14,0.9672131147540984
hotel_14,2023-07-01,0.5188679245283019
hotel_14,2023-07-02,0.5188679245283019
hotel_14,2023-07-03,0.5188679245283019
hotel_14,2023-07-04,0.5188679245283019
hotel_14,2023-07-05,0.5188679245283019
hotel_14,2023-07-06,0.5188679245283019
hotel_14,2023-07-07,0.5188679245283019
hotel_14,2023-07-08,0.5188679245283019
hotel_14,2023-07-09,0.5188679245283019
hotel_14,2023-07-10,0.5188679245283019
hotel_14,2023-07-11,0.5188679245283019
hotel_14,2023-07-12,0.5188679245283019
hotel_14,2023-07-13,0.5188679245283019
hotel_14,2023-07-14,0.5188679245283019
hotel_21,2023-07-01,0.9074074074074074
hotel_21,2023-07-02,0.9074074074074074
hotel_21,2023-07-03,0.9074074074074074
hotel_21,2023-07-04,0.9074074074074074
hotel_21,2023-07-05,0.9074074074074074
hotel_21,2023-07-06,0.9074074074074074
hotel_21,2023-07-07,0.9074074074074074
hotel_21,2023-07-08,0.9074074074074074
